,name,url
0,どう見てもガンダムな石像がインドネシアで発見される、地元民は数百年前のものと証言か - GIGAZINE,/url/6137609
1,ALSの患者に「時間稼ぎですか？」 文字盤コミュニケーション中、市役所職員の発言に抗議,/url/6140627
2,福岡県民の僕がタダ券を貰って子連れでアビスパ戦に行って楽しめなかった全理由｜大塚拓馬｜note,/url/6134323
3,ソニー、Xperia 1を初夏に発売　日本初披露　 - Engadget 日本版,/url/6137826
4,滅びが近い出版業界を復活させる、たったひとつの冴えたやり方｜三木一馬｜note,/url/6138854
5,世界で初めて3Dプリンターと人間の細胞を使って心臓を作ることに成功 - GIGAZINE,/url/6135543
6,レノボ、Snapdragon 850搭載Windows 2in1。ペン/LTE対応  - PC Watch,/url/6138706
7,丸亀製麺の30分飲み放題はホントに「すべてのせんべろを過去にした」のか？　聞いて飲んでわかったヒットの秘訣 - ねとらぼ,/url/6134640
8,「売名行為」批判に異色のアンサー　DOMMUNEが「坂上忍縛り」のライブ配信を実施,/url/6124822
9,「ジョジョの奇妙な冒険」荒木飛呂彦先生の ”石仮面” が爆誕!! ネットの声「怖い」製作者「俺も怖い」 | ロケットニュース24,/url/6139990
10,43歳、現役最古参アイドル・森下純菜　デビューから23年、活動を続ける理由とは？ | ORICON NEWS,/url/6136276
11,ギターに吸盤で装着、どこでも演奏。ギターアンプ兼スピーカー「Strum Buddy」 - AV Watch,/url/6138515
12,PayPayがイオンに導入、関東の32店舗。WAONのイオンで初QR決済 - Impress Watch,/url/6139275
13,現役東大生だが上野千鶴子の祝辞はゴミだと思う,/url/6105557
14,iPhoneを製造するFoxconnが「インドでもiPhoneの製造を開始する」と発表 - GIGAZINE,/url/6138968
15,Xiaomiのゲーミングスマホ「Black Shark2」日本上陸 - Engadget 日本版,/url/6136349
16,ご報告とお願い事。｜がはらさん｜note,/url/6136993
17,「コーヒーは人間に必要不可欠なものではない」とスイス政府が決定 - GIGAZINE,/url/6136967
18,テレビの面倒くささをAIで解決。LGの新型テレビが快適そう | ギズモード・ジャパン,/url/6137908
19,祝『シャニマス』1周年！ 表紙、振り返り企画、アンケート、関根瞳さん＆田中有紀さんのインタビューなど24ページにわたって大特集。付録DLCもあるよ【先出し週刊ファミ通】 - ファミ通.com,/url/6140997
20,「すごい人の努力」を認められないのは「努力不足の自分」を否定されないため　考察漫画に「耳が痛い」の声 - ねとらぼ,/url/6140760
21,歌番組の演出は一般人がやると絶対に照れてヘラヘラする :: デイリーポータルZ,/url/6139840
22,人型ロボット「Pepper」に家庭向け新モデル　「ハイ、ペッパー」で呼び掛け、“りんな”で会話力向上 - ITmedia NEWS,/url/6137533
23,『オルフェンズは面白い』『けもフレ２が楽しい』『こういう女の子が好き』に人格否定レベルのリプが飛ぶ空気が蔓延…基準は人それぞれなのだから「好き」の発信を否定するのは良くないとの主張 - Togetter,/url/6138265
24,ファーウェイ創業者、「アップルに5Gモデム販売を検討」と発言。「ジョブズは超素晴らしい」 - Engadget 日本版,/url/6138482
25,その「液体ミルク批判」誰のため？　世界に取り残されている日本の母乳指導,/url/6126086
26,女の子がコンテンツの正当な消費者として認められること - 現金満タン、ハイオクで。,/url/6116451
27,総務省が「5G」電波の割り当てを決定　ソフトバンクと楽天は“追加条件”あり - ITmedia Mobile,/url/6056056
28,総務省が「5G」電波の割り当てを決定　ソフトバンクと楽天は“追加条件”あり - ITmedia Mobile,/url/6056056
29,「インプットもアウトプットも多いのにつまらない人」と「インプットが増えるほど面白くなっていく人」の違い｜ふろむだ@分裂勘違い君劇場｜note,/url/6010761
30,平成31年度東京大学学部入学式　祝辞 | 東京大学,/url/6084136
31,「がんばっても報われない社会が待っている」東大の入学式で語られたこと【全文】,/url/6088136
32,ある日突然無断で他人の建物をショベルカーで破壊する企業は「反社会的勢力」ではないのか？ - GIGAZINE,/url/6035938
33,Amazonプライム、日本で初の値上げ　年会費4900円に - ITmedia NEWS,/url/6076679
34,「夜型」の人が努力しても、決して「朝型」になれない：研究結果｜WIRED.jp,/url/5996793
35,どう見てもガンダムな石像がインドネシアで発見される、地元民は数百年前のものと証言か - GIGAZINE,/url/6137609
36,ALSの患者に「時間稼ぎですか？」 文字盤コミュニケーション中、市役所職員の発言に抗議,/url/6140627
37,福岡県民の僕がタダ券を貰って子連れでアビスパ戦に行って楽しめなかった全理由｜大塚拓馬｜note,/url/6134323
38,世界で初めて3Dプリンターと人間の細胞を使って心臓を作ることに成功 - GIGAZINE,/url/6135543
39,ソニー、Xperia 1を初夏に発売　日本初披露　 - Engadget 日本版,/url/6137826
